id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
1,1,6,1,0,0,0,0,300,0,0
2,1,6,1,300,0,0,300,300,0,0
3,1,6,1,600,0,0,600,300,0,0
4,1,6,1,0,0,300,0,300,300,0
5,1,6,1,300,0,300,300,300,300,0
6,1,6,1,600,0,300,600,300,300,0
7,1,6,1,0,0,600,0,300,600,0
8,1,6,1,300,0,600,300,300,600,0
9,1,6,1,600,0,600,600,300,600,0
10,1,6,2,0,300,0,300,300,0,100
11,1,6,2,300,300,0,600,300,0,100
12,1,6,2,0,300,300,300,300,300,100
13,1,6,2,300,300,300,600,300,300,100
14,1,6,2,0,300,600,300,300,600,100
15,1,6,2,300,300,600,600,300,600,100
16,1,6,3,0,300,0,0,300,300,100
17,1,6,3,300,300,0,300,300,300,100
18,1,6,3,600,300,0,600,300,300,100
19,1,6,3,0,300,300,0,300,600,100
20,1,6,3,300,300,300,300,300,600,100
21,1,6,3,600,300,300,600,300,600,100
22,2,3,1,0,0,0,0,173,0,0
23,2,3,1,0,173,0,0,174,0,2200
24,3,4,1,0,0,0,0,161,0,0
25,3,4,1,0,161,0,0,162,0,2325
26,4,5,1,0,0,0,0,161,0,0
27,4,5,1,0,161,0,0,162,0,2325
28,5,5,1,0,0,0,0,157,0,0
29,5,5,1,0,157,0,0,158,0,1900
30,6,6,1,0,0,0,0,139,0,0
31,6,6,1,300,0,0,300,139,0,0
32,6,6,1,600,0,0,600,139,0,0
33,6,6,1,900,0,0,900,139,0,0
34,6,6,1,1200,0,0,1200,139,0,0
35,6,6,1,1500,0,0,1500,139,0,0
36,6,2,1,0,139,0,0,174,0,0
37,6,2,1,300,139,0,300,174,0,0
38,6,2,1,600,139,0,600,174,0,0
39,6,2,1,900,139,0,900,174,0,0
40,6,2,1,1200,139,0,1200,174,0,0
41,6,2,1,1500,139,0,1500,174,0,0
42,6,8,2,12,174,0,288,174,0,110
43,6,8,2,312,174,0,588,174,0,110
44,6,8,2,612,174,0,888,174,0,110
45,6,8,2,912,174,0,1188,174,0,110
46,6,8,2,1212,174,0,1488,174,0,110
47,6,2,2,0,174,0,12,174,0,0
48,6,2,2,300,174,0,312,174,0,0
49,6,2,2,600,174,0,612,174,0,0
50,6,2,2,900,174,0,912,174,0,0
51,6,2,2,1200,174,0,1212,174,0,0
52,6,2,2,288,174,0,300,174,0,0
53,6,2,2,588,174,0,600,174,0,0
54,6,2,2,888,174,0,900,174,0,0
55,6,2,2,1188,174,0,1200,174,0,0
56,6,2,2,1488,174,0,1500,174,0,0
57,6,1,2,1500,174,0,1600,174,0,0
58,6,6,1,1600,0,0,1600,139,0,0
59,6,6,1,1900,0,0,1900,139,0,0
60,6,6,1,2200,0,0,2200,139,0,0
61,6,6,1,2500,0,0,2500,139,0,0
62,6,6,1,2800,0,0,2800,139,0,0
63,6,6,1,3100,0,0,3100,139,0,0
64,6,2,1,1600,139,0,1600,174,0,0
65,6,2,1,1900,139,0,1900,174,0,0
66,6,2,1,2200,139,0,2200,174,0,0
67,6,2,1,2500,139,0,2500,174,0,0
68,6,2,1,2800,139,0,2800,174,0,0
69,6,2,1,3100,139,0,3100,174,0,0
70,6,8,2,1612,174,0,1888,174,0,110
71,6,8,2,1912,174,0,2188,174,0,110
72,6,8,2,2212,174,0,2488,174,0,110
73,6,8,2,2512,174,0,2788,174,0,110
74,6,8,2,2812,174,0,3088,174,0,110
75,6,2,2,1600,174,0,1612,174,0,0
76,6,2,2,1900,174,0,1912,174,0,0
77,6,2,2,2200,174,0,2212,174,0,0
78,6,2,2,2500,174,0,2512,174,0,0
79,6,2,2,2800,174,0,2812,174,0,0
80,6,2,2,1888,174,0,1900,174,0,0
81,6,2,2,2188,174,0,2200,174,0,0
82,6,2,2,2488,174,0,2500,174,0,0
83,6,2,2,2788,174,0,2800,174,0,0
84,6,2,2,3088,174,0,3100,174,0,0
85,7,7,1,0,0,0,0,105,0,0
86,7,7,1,300,0,0,300,105,0,0
87,7,7,1,600,0,0,600,105,0,0
88,7,7,1,900,0,0,900,105,0,0
89,7,7,1,1200,0,0,1200,105,0,0
90,7,7,1,1500,0,0,1500,105,0,0
91,7,2,1,0,105,0,0,162,0,0
92,7,2,1,300,105,0,300,162,0,0
93,7,2,1,600,105,0,600,162,0,0
94,7,2,1,900,105,0,900,162,0,0
95,7,2,1,1200,105,0,1200,162,0,0
96,7,2,1,1500,105,0,1500,162,0,0
97,7,10,2,9,162,0,291,162,0,116.25
98,7,10,2,309,162,0,597,162,0,116.25
99,7,10,2,609,162,0,891,162,0,116.25
100,7,10,2,909,162,0,1191,162,0,116.25
101,7,10,2,1209,162,0,1491,162,0,116.25
102,7,2,2,0,162,0,9,162,0,0
103,7,2,2,300,162,0,309,162,0,0
104,7,2,2,600,162,0,609,162,0,0
105,7,2,2,900,162,0,909,162,0,0
106,7,2,2,1200,162,0,1209,162,0,0
107,7,2,2,291,162,0,300,162,0,0
108,7,2,2,597,162,0,600,162,0,0
109,7,2,2,891,162,0,900,162,0,0
110,7,2,2,1191,162,0,1200,162,0,0
111,7,2,2,1491,162,0,1500,162,0,0
112,7,1,2,1500,162,0,1600,162,0,0
113,7,6,1,1600,0,0,1600,129,0,0
114,7,6,1,1900,0,0,1900,129,0,0
115,7,6,1,2200,0,0,2200,129,0,0
116,7,6,1,2500,0,0,2500,129,0,0
117,7,6,1,2800,0,0,2800,129,0,0
118,7,6,1,3100,0,0,3100,129,0,0
119,7,2,1,1600,129,0,1600,162,0,0
120,7,2,1,1900,129,0,1900,162,0,0
121,7,2,1,2200,129,0,2200,162,0,0
122,7,2,1,2500,129,0,2500,162,0,0
123,7,2,1,2800,129,0,2800,162,0,0
124,7,2,1,3100,129,0,3100,162,0,0
125,7,9,2,1612,162,0,1888,162,0,116.25
126,7,9,2,1912,162,0,2188,162,0,116.25
127,7,9,2,2212,162,0,2488,162,0,116.25
128,7,9,2,2512,162,0,2788,162,0,116.25
129,7,9,2,2812,162,0,3088,162,0,116.25
130,7,2,2,1600,162,0,1612,162,0,0
131,7,2,2,1900,162,0,1912,162,0,0
132,7,2,2,2200,162,0,2212,162,0,0
133,7,2,2,2500,162,0,2512,162,0,0
134,7,2,2,2800,162,0,2812,162,0,0
135,7,2,2,1888,162,0,1900,162,0,0
136,7,2,2,2188,162,0,2200,162,0,0
137,7,2,2,2488,162,0,2500,162,0,0
138,7,2,2,2788,162,0,2800,162,0,0
139,7,2,2,3088,162,0,3100,162,0,0
140,8,7,1,0,0,0,0,105,0,0
141,8,7,1,300,0,0,300,105,0,0
142,8,7,1,600,0,0,600,105,0,0
143,8,7,1,900,0,0,900,105,0,0
144,8,7,1,1200,0,0,1200,105,0,0
145,8,7,1,1500,0,0,1500,105,0,0
146,8,2,1,0,105,0,0,158,0,0
147,8,2,1,300,105,0,300,158,0,0
148,8,2,1,600,105,0,600,158,0,0
149,8,2,1,900,105,0,900,158,0,0
150,8,2,1,1200,105,0,1200,158,0,0
151,8,2,1,1500,105,0,1500,158,0,0
152,8,11,2,9,158,0,291,158,0,95
153,8,11,2,309,158,0,597,158,0,95
154,8,11,2,609,158,0,891,158,0,95
155,8,11,2,909,158,0,1191,158,0,95
156,8,11,2,1209,158,0,1491,158,0,95
157,8,2,2,0,158,0,9,158,0,0
158,8,2,2,300,158,0,309,158,0,0
159,8,2,2,600,158,0,609,158,0,0
160,8,2,2,900,158,0,909,158,0,0
161,8,2,2,1200,158,0,1209,158,0,0
162,8,2,2,291,158,0,300,158,0,0
163,8,2,2,597,158,0,600,158,0,0
164,8,2,2,891,158,0,900,158,0,0
165,8,2,2,1191,158,0,1200,158,0,0
166,8,2,2,1491,158,0,1500,158,0,0
167,8,1,2,1500,158,0,1600,158,0,0
168,8,6,1,1600,0,0,1600,125,0,0
169,8,6,1,1900,0,0,1900,125,0,0
170,8,6,1,2200,0,0,2200,125,0,0
171,8,6,1,2500,0,0,2500,125,0,0
172,8,6,1,2800,0,0,2800,125,0,0
173,8,6,1,3100,0,0,3100,125,0,0
174,8,2,1,1600,125,0,1600,158,0,0
175,8,2,1,1900,125,0,1900,158,0,0
176,8,2,1,2200,125,0,2200,158,0,0
177,8,2,1,2500,125,0,2500,158,0,0
178,8,2,1,2800,125,0,2800,158,0,0
179,8,2,1,3100,125,0,3100,158,0,0
180,8,9,2,1612,158,0,1888,158,0,95
181,8,9,2,1912,158,0,2188,158,0,95
182,8,9,2,2212,158,0,2488,158,0,95
183,8,9,2,2512,158,0,2788,158,0,95
184,8,9,2,2812,158,0,3088,158,0,95
185,8,2,2,1600,158,0,1612,158,0,0
186,8,2,2,1900,158,0,1912,158,0,0
187,8,2,2,2200,158,0,2212,158,0,0
188,8,2,2,2500,158,0,2512,158,0,0
189,8,2,2,2800,158,0,2812,158,0,0
190,8,2,2,1888,158,0,1900,158,0,0
191,8,2,2,2188,158,0,2200,158,0,0
192,8,2,2,2488,158,0,2500,158,0,0
193,8,2,2,2788,158,0,2800,158,0,0
194,8,2,2,3088,158,0,3100,158,0,0
195,9,6,1,0,0,0,0,139,0,0
196,9,6,1,300,0,0,300,139,0,0
197,9,6,1,600,0,0,600,139,0,0
198,9,6,1,900,0,0,900,139,0,0
199,9,6,1,1200,0,0,1200,139,0,0
200,9,6,1,1500,0,0,1500,139,0,0
201,9,2,1,0,139,0,0,174,0,0
202,9,2,1,300,139,0,300,174,0,0
203,9,2,1,600,139,0,600,174,0,0
204,9,2,1,900,139,0,900,174,0,0
205,9,2,1,1200,139,0,1200,174,0,0
206,9,2,1,1500,139,0,1500,174,0,0
207,9,8,2,12,174,0,288,174,0,110
208,9,8,2,312,174,0,588,174,0,110
209,9,8,2,612,174,0,888,174,0,110
210,9,8,2,912,174,0,1188,174,0,110
211,9,8,2,1212,174,0,1488,174,0,110
212,9,2,2,0,174,0,12,174,0,0
213,9,2,2,300,174,0,312,174,0,0
214,9,2,2,600,174,0,612,174,0,0
215,9,2,2,900,174,0,912,174,0,0
216,9,2,2,1200,174,0,1212,174,0,0
217,9,2,2,288,174,0,300,174,0,0
218,9,2,2,588,174,0,600,174,0,0
219,9,2,2,888,174,0,900,174,0,0
220,9,2,2,1188,174,0,1200,174,0,0
221,9,2,2,1488,174,0,1500,174,0,0
222,9,6,1,0,0,300,0,139,300,0
223,9,6,1,300,0,300,300,139,300,0
224,9,6,1,600,0,300,600,139,300,0
225,9,6,1,900,0,300,900,139,300,0
226,9,6,1,1200,0,300,1200,139,300,0
227,9,6,1,1500,0,300,1500,139,300,0
228,9,2,1,0,139,300,0,174,300,0
229,9,2,1,300,139,300,300,174,300,0
230,9,2,1,600,139,300,600,174,300,0
231,9,2,1,900,139,300,900,174,300,0
232,9,2,1,1200,139,300,1200,174,300,0
233,9,2,1,1500,139,300,1500,174,300,0
234,9,8,2,12,174,300,288,174,300,110
235,9,8,2,312,174,300,588,174,300,110
236,9,8,2,612,174,300,888,174,300,110
237,9,8,2,912,174,300,1188,174,300,110
238,9,8,2,1212,174,300,1488,174,300,110
239,9,2,2,0,174,300,12,174,300,0
240,9,2,2,300,174,300,312,174,300,0
241,9,2,2,600,174,300,612,174,300,0
242,9,2,2,900,174,300,912,174,300,0
243,9,2,2,1200,174,300,1212,174,300,0
244,9,2,2,288,174,300,300,174,300,0
245,9,2,2,588,174,300,600,174,300,0
246,9,2,2,888,174,300,900,174,300,0
247,9,2,2,1188,174,300,1200,174,300,0
248,9,2,2,1488,174,300,1500,174,300,0
249,9,6,1,0,0,600,0,139,600,0
250,9,6,1,300,0,600,300,139,600,0
251,9,6,1,600,0,600,600,139,600,0
252,9,6,1,900,0,600,900,139,600,0
253,9,6,1,1200,0,600,1200,139,600,0
254,9,6,1,1500,0,600,1500,139,600,0
255,9,2,1,0,139,600,0,174,600,0
256,9,2,1,300,139,600,300,174,600,0
257,9,2,1,600,139,600,600,174,600,0
258,9,2,1,900,139,600,900,174,600,0
259,9,2,1,1200,139,600,1200,174,600,0
260,9,2,1,1500,139,600,1500,174,600,0
261,9,8,2,12,174,600,288,174,600,110
262,9,8,2,312,174,600,588,174,600,110
263,9,8,2,612,174,600,888,174,600,110
264,9,8,2,912,174,600,1188,174,600,110
265,9,8,2,1212,174,600,1488,174,600,110
266,9,2,2,0,174,600,12,174,600,0
267,9,2,2,300,174,600,312,174,600,0
268,9,2,2,600,174,600,612,174,600,0
269,9,2,2,900,174,600,912,174,600,0
270,9,2,2,1200,174,600,1212,174,600,0
271,9,2,2,288,174,600,300,174,600,0
272,9,2,2,588,174,600,600,174,600,0
273,9,2,2,888,174,600,900,174,600,0
274,9,2,2,1188,174,600,1200,174,600,0
275,9,2,2,1488,174,600,1500,174,600,0
276,9,6,1,0,0,900,0,139,900,0
277,9,6,1,300,0,900,300,139,900,0
278,9,6,1,600,0,900,600,139,900,0
279,9,6,1,900,0,900,900,139,900,0
280,9,6,1,1200,0,900,1200,139,900,0
281,9,6,1,1500,0,900,1500,139,900,0
282,9,2,1,0,139,900,0,174,900,0
283,9,2,1,300,139,900,300,174,900,0
284,9,2,1,600,139,900,600,174,900,0
285,9,2,1,900,139,900,900,174,900,0
286,9,2,1,1200,139,900,1200,174,900,0
287,9,2,1,1500,139,900,1500,174,900,0
288,9,8,2,12,174,900,288,174,900,110
289,9,8,2,312,174,900,588,174,900,110
290,9,8,2,612,174,900,888,174,900,110
291,9,8,2,912,174,900,1188,174,900,110
292,9,8,2,1212,174,900,1488,174,900,110
293,9,2,2,0,174,900,12,174,900,0
294,9,2,2,300,174,900,312,174,900,0
295,9,2,2,600,174,900,612,174,900,0
296,9,2,2,900,174,900,912,174,900,0
297,9,2,2,1200,174,900,1212,174,900,0
298,9,2,2,288,174,900,300,174,900,0
299,9,2,2,588,174,900,600,174,900,0
300,9,2,2,888,174,900,900,174,900,0
301,9,2,2,1188,174,900,1200,174,900,0
302,9,2,2,1488,174,900,1500,174,900,0
303,9,12,1,0,0,450,0,174,450,0
304,9,12,1,600,0,450,600,174,450,0
305,9,13,1,900,0,450,900,174,450,0
306,9,12,1,1200,0,450,1200,174,450,0
307,10,7,1,0,0,0,0,105,0,0
308,10,7,1,300,0,0,300,105,0,0
309,10,7,1,600,0,0,600,105,0,0
310,10,7,1,900,0,0,900,105,0,0
311,10,7,1,1200,0,0,1200,105,0,0
312,10,7,1,1500,0,0,1500,105,0,0
313,10,2,1,0,105,0,0,162,0,0
314,10,2,1,300,105,0,300,162,0,0
315,10,2,1,600,105,0,600,162,0,0
316,10,2,1,900,105,0,900,162,0,0
317,10,2,1,1200,105,0,1200,162,0,0
318,10,2,1,1500,105,0,1500,162,0,0
319,10,10,2,9,162,0,291,162,0,116.25
320,10,10,2,309,162,0,597,162,0,116.25
321,10,10,2,609,162,0,891,162,0,116.25
322,10,10,2,909,162,0,1191,162,0,116.25
323,10,10,2,1209,162,0,1491,162,0,116.25
324,10,2,2,0,162,0,9,162,0,0
325,10,2,2,300,162,0,309,162,0,0
326,10,2,2,600,162,0,609,162,0,0
327,10,2,2,900,162,0,909,162,0,0
328,10,2,2,1200,162,0,1209,162,0,0
329,10,2,2,291,162,0,300,162,0,0
330,10,2,2,597,162,0,600,162,0,0
331,10,2,2,891,162,0,900,162,0,0
332,10,2,2,1191,162,0,1200,162,0,0
