id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
333,10,2,2,1491,162,0,1500,162,0,0
334,10,6,1,0,0,300,0,129,300,0
335,10,6,1,300,0,300,300,129,300,0
336,10,6,1,600,0,300,600,129,300,0
337,10,6,1,900,0,300,900,129,300,0
338,10,6,1,1200,0,300,1200,129,300,0
339,10,6,1,1500,0,300,1500,129,300,0
340,10,2,1,0,129,300,0,162,300,0
341,10,2,1,300,129,300,300,162,300,0
342,10,2,1,600,129,300,600,162,300,0
343,10,2,1,900,129,300,900,162,300,0
344,10,2,1,1200,129,300,1200,162,300,0
345,10,2,1,1500,129,300,1500,162,300,0
346,10,9,2,12,162,300,288,162,300,116.25
347,10,9,2,312,162,300,588,162,300,116.25
348,10,9,2,612,162,300,888,162,300,116.25
349,10,9,2,912,162,300,1188,162,300,116.25
350,10,9,2,1212,162,300,1488,162,300,116.25
351,10,2,2,0,162,300,12,162,300,0
352,10,2,2,300,162,300,312,162,300,0
353,10,2,2,600,162,300,612,162,300,0
354,10,2,2,900,162,300,912,162,300,0
355,10,2,2,1200,162,300,1212,162,300,0
356,10,2,2,288,162,300,300,162,300,0
357,10,2,2,588,162,300,600,162,300,0
358,10,2,2,888,162,300,900,162,300,0
359,10,2,2,1188,162,300,1200,162,300,0
360,10,2,2,1488,162,300,1500,162,300,0
361,10,6,1,0,0,600,0,129,600,0
362,10,6,1,300,0,600,300,129,600,0
363,10,6,1,600,0,600,600,129,600,0
364,10,6,1,900,0,600,900,129,600,0
365,10,6,1,1200,0,600,1200,129,600,0
366,10,6,1,1500,0,600,1500,129,600,0
367,10,2,1,0,129,600,0,162,600,0
368,10,2,1,300,129,600,300,162,600,0
369,10,2,1,600,129,600,600,162,600,0
370,10,2,1,900,129,600,900,162,600,0
371,10,2,1,1200,129,600,1200,162,600,0
372,10,2,1,1500,129,600,1500,162,600,0
373,10,9,2,12,162,600,288,162,600,116.25
374,10,9,2,312,162,600,588,162,600,116.25
375,10,9,2,612,162,600,888,162,600,116.25
376,10,9,2,912,162,600,1188,162,600,116.25
377,10,9,2,1212,162,600,1488,162,600,116.25
378,10,2,2,0,162,600,12,162,600,0
379,10,2,2,300,162,600,312,162,600,0
380,10,2,2,600,162,600,612,162,600,0
381,10,2,2,900,162,600,912,162,600,0
382,10,2,2,1200,162,600,1212,162,600,0
383,10,2,2,288,162,600,300,162,600,0
384,10,2,2,588,162,600,600,162,600,0
385,10,2,2,888,162,600,900,162,600,0
386,10,2,2,1188,162,600,1200,162,600,0
387,10,2,2,1488,162,600,1500,162,600,0
388,10,7,1,0,0,900,0,105,900,0
389,10,7,1,300,0,900,300,105,900,0
390,10,7,1,600,0,900,600,105,900,0
391,10,7,1,900,0,900,900,105,900,0
392,10,7,1,1200,0,900,1200,105,900,0
393,10,7,1,1500,0,900,1500,105,900,0
394,10,2,1,0,105,900,0,162,900,0
395,10,2,1,300,105,900,300,162,900,0
396,10,2,1,600,105,900,600,162,900,0
397,10,2,1,900,105,900,900,162,900,0
398,10,2,1,1200,105,900,1200,162,900,0
399,10,2,1,1500,105,900,1500,162,900,0
400,10,10,2,9,162,900,291,162,900,116.25
401,10,10,2,309,162,900,597,162,900,116.25
402,10,10,2,609,162,900,891,162,900,116.25
403,10,10,2,909,162,900,1191,162,900,116.25
404,10,10,2,1209,162,900,1491,162,900,116.25
405,10,2,2,0,162,900,9,162,900,0
406,10,2,2,300,162,900,309,162,900,0
407,10,2,2,600,162,900,609,162,900,0
408,10,2,2,900,162,900,909,162,900,0
409,10,2,2,1200,162,900,1209,162,900,0
410,10,2,2,291,162,900,300,162,900,0
411,10,2,2,597,162,900,600,162,900,0
412,10,2,2,891,162,900,900,162,900,0
413,10,2,2,1191,162,900,1200,162,900,0
414,10,2,2,1491,162,900,1500,162,900,0
415,10,14,1,-71,0,450,-71,162,450,0
416,10,14,1,1571,0,450,1571,162,450,0
417,10,2,2,-71,0,450,0,0,450,0
418,10,2,2,1200,0,450,1571,0,450,0
419,11,7,1,0,0,0,0,105,0,0
420,11,7,1,300,0,0,300,105,0,0
421,11,7,1,600,0,0,600,105,0,0
422,11,7,1,900,0,0,900,105,0,0
423,11,7,1,1200,0,0,1200,105,0,0
424,11,7,1,1500,0,0,1500,105,0,0
425,11,2,1,0,105,0,0,162,0,0
426,11,2,1,300,105,0,300,162,0,0
427,11,2,1,600,105,0,600,162,0,0
428,11,2,1,900,105,0,900,162,0,0
429,11,2,1,1200,105,0,1200,162,0,0
430,11,2,1,1500,105,0,1500,162,0,0
431,11,10,2,9,162,0,291,162,0,116.25
432,11,10,2,309,162,0,597,162,0,116.25
433,11,10,2,609,162,0,891,162,0,116.25
434,11,10,2,909,162,0,1191,162,0,116.25
435,11,10,2,1209,162,0,1491,162,0,116.25
436,11,2,2,0,162,0,9,162,0,0
437,11,2,2,300,162,0,309,162,0,0
438,11,2,2,600,162,0,609,162,0,0
439,11,2,2,900,162,0,909,162,0,0
440,11,2,2,1200,162,0,1209,162,0,0
441,11,2,2,291,162,0,300,162,0,0
442,11,2,2,597,162,0,600,162,0,0
443,11,2,2,891,162,0,900,162,0,0
444,11,2,2,1191,162,0,1200,162,0,0
445,11,2,2,1491,162,0,1500,162,0,0
446,11,6,1,0,0,300,0,129,300,0
447,11,6,1,300,0,300,300,129,300,0
448,11,6,1,600,0,300,600,129,300,0
449,11,6,1,900,0,300,900,129,300,0
450,11,6,1,1200,0,300,1200,129,300,0
451,11,6,1,1500,0,300,1500,129,300,0
452,11,2,1,0,129,300,0,162,300,0
453,11,2,1,300,129,300,300,162,300,0
454,11,2,1,600,129,300,600,162,300,0
455,11,2,1,900,129,300,900,162,300,0
456,11,2,1,1200,129,300,1200,162,300,0
457,11,2,1,1500,129,300,1500,162,300,0
458,11,9,2,12,162,300,288,162,300,116.25
459,11,9,2,312,162,300,588,162,300,116.25
460,11,9,2,612,162,300,888,162,300,116.25
461,11,9,2,912,162,300,1188,162,300,116.25
462,11,9,2,1212,162,300,1488,162,300,116.25
463,11,2,2,0,162,300,12,162,300,0
464,11,2,2,300,162,300,312,162,300,0
465,11,2,2,600,162,300,612,162,300,0
466,11,2,2,900,162,300,912,162,300,0
467,11,2,2,1200,162,300,1212,162,300,0
468,11,2,2,288,162,300,300,162,300,0
469,11,2,2,588,162,300,600,162,300,0
470,11,2,2,888,162,300,900,162,300,0
471,11,2,2,1188,162,300,1200,162,300,0
472,11,2,2,1488,162,300,1500,162,300,0
473,11,6,1,0,0,600,0,129,600,0
474,11,6,1,300,0,600,300,129,600,0
475,11,6,1,600,0,600,600,129,600,0
476,11,6,1,900,0,600,900,129,600,0
477,11,6,1,1200,0,600,1200,129,600,0
478,11,6,1,1500,0,600,1500,129,600,0
479,11,2,1,0,129,600,0,162,600,0
480,11,2,1,300,129,600,300,162,600,0
481,11,2,1,600,129,600,600,162,600,0
482,11,2,1,900,129,600,900,162,600,0
483,11,2,1,1200,129,600,1200,162,600,0
484,11,2,1,1500,129,600,1500,162,600,0
485,11,9,2,12,162,600,288,162,600,116.25
486,11,9,2,312,162,600,588,162,600,116.25
487,11,9,2,612,162,600,888,162,600,116.25
488,11,9,2,912,162,600,1188,162,600,116.25
489,11,9,2,1212,162,600,1488,162,600,116.25
490,11,2,2,0,162,600,12,162,600,0
491,11,2,2,300,162,600,312,162,600,0
492,11,2,2,600,162,600,612,162,600,0
493,11,2,2,900,162,600,912,162,600,0
494,11,2,2,1200,162,600,1212,162,600,0
495,11,2,2,288,162,600,300,162,600,0
496,11,2,2,588,162,600,600,162,600,0
497,11,2,2,888,162,600,900,162,600,0
498,11,2,2,1188,162,600,1200,162,600,0
499,11,2,2,1488,162,600,1500,162,600,0
500,11,7,1,0,0,900,0,105,900,0
501,11,7,1,300,0,900,300,105,900,0
502,11,7,1,600,0,900,600,105,900,0
503,11,7,1,900,0,900,900,105,900,0
504,11,7,1,1200,0,900,1200,105,900,0
505,11,7,1,1500,0,900,1500,105,900,0
506,11,2,1,0,105,900,0,162,900,0
507,11,2,1,300,105,900,300,162,900,0
508,11,2,1,600,105,900,600,162,900,0
509,11,2,1,900,105,900,900,162,900,0
510,11,2,1,1200,105,900,1200,162,900,0
511,11,2,1,1500,105,900,1500,162,900,0
512,11,10,2,9,162,900,291,162,900,116.25
513,11,10,2,309,162,900,597,162,900,116.25
514,11,10,2,609,162,900,891,162,900,116.25
515,11,10,2,909,162,900,1191,162,900,116.25
516,11,10,2,1209,162,900,1491,162,900,116.25
517,11,2,2,0,162,900,9,162,900,0
518,11,2,2,300,162,900,309,162,900,0
519,11,2,2,600,162,900,609,162,900,0
520,11,2,2,900,162,900,909,162,900,0
521,11,2,2,1200,162,900,1209,162,900,0
522,11,2,2,291,162,900,300,162,900,0
523,11,2,2,597,162,900,600,162,900,0
524,11,2,2,891,162,900,900,162,900,0
525,11,2,2,1191,162,900,1200,162,900,0
526,11,2,2,1491,162,900,1500,162,900,0
527,11,15,1,-71,0,450,-71,162,450,0
528,11,15,1,1571,0,450,1571,162,450,0
529,12,7,1,0,0,0,0,105,0,0
530,12,7,1,300,0,0,300,105,0,0
531,12,7,1,600,0,0,600,105,0,0
532,12,7,1,900,0,0,900,105,0,0
533,12,7,1,1200,0,0,1200,105,0,0
534,12,7,1,1500,0,0,1500,105,0,0
535,12,2,1,0,105,0,0,158,0,0
536,12,2,1,300,105,0,300,158,0,0
537,12,2,1,600,105,0,600,158,0,0
538,12,2,1,900,105,0,900,158,0,0
539,12,2,1,1200,105,0,1200,158,0,0
540,12,2,1,1500,105,0,1500,158,0,0
541,12,11,2,9,158,0,291,158,0,95
542,12,11,2,309,158,0,597,158,0,95
543,12,11,2,609,158,0,891,158,0,95
544,12,11,2,909,158,0,1191,158,0,95
545,12,11,2,1209,158,0,1491,158,0,95
546,12,2,2,0,158,0,9,158,0,0
547,12,2,2,300,158,0,309,158,0,0
548,12,2,2,600,158,0,609,158,0,0
549,12,2,2,900,158,0,909,158,0,0
550,12,2,2,1200,158,0,1209,158,0,0
551,12,2,2,291,158,0,300,158,0,0
552,12,2,2,597,158,0,600,158,0,0
553,12,2,2,891,158,0,900,158,0,0
554,12,2,2,1191,158,0,1200,158,0,0
555,12,2,2,1491,158,0,1500,158,0,0
556,12,6,1,0,0,300,0,125,300,0
557,12,6,1,300,0,300,300,125,300,0
558,12,6,1,600,0,300,600,125,300,0
559,12,6,1,900,0,300,900,125,300,0
560,12,6,1,1200,0,300,1200,125,300,0
561,12,6,1,1500,0,300,1500,125,300,0
562,12,2,1,0,125,300,0,158,300,0
563,12,2,1,300,125,300,300,158,300,0
564,12,2,1,600,125,300,600,158,300,0
565,12,2,1,900,125,300,900,158,300,0
566,12,2,1,1200,125,300,1200,158,300,0
567,12,2,1,1500,125,300,1500,158,300,0
568,12,9,2,12,158,300,288,158,300,95
569,12,9,2,312,158,300,588,158,300,95
570,12,9,2,612,158,300,888,158,300,95
571,12,9,2,912,158,300,1188,158,300,95
572,12,9,2,1212,158,300,1488,158,300,95
573,12,2,2,0,158,300,12,158,300,0
574,12,2,2,300,158,300,312,158,300,0
575,12,2,2,600,158,300,612,158,300,0
576,12,2,2,900,158,300,912,158,300,0
577,12,2,2,1200,158,300,1212,158,300,0
578,12,2,2,288,158,300,300,158,300,0
579,12,2,2,588,158,300,600,158,300,0
580,12,2,2,888,158,300,900,158,300,0
581,12,2,2,1188,158,300,1200,158,300,0
582,12,2,2,1488,158,300,1500,158,300,0
583,12,6,1,0,0,600,0,125,600,0
584,12,6,1,300,0,600,300,125,600,0
585,12,6,1,600,0,600,600,125,600,0
586,12,6,1,900,0,600,900,125,600,0
587,12,6,1,1200,0,600,1200,125,600,0
588,12,6,1,1500,0,600,1500,125,600,0
589,12,2,1,0,125,600,0,158,600,0
590,12,2,1,300,125,600,300,158,600,0
591,12,2,1,600,125,600,600,158,600,0
592,12,2,1,900,125,600,900,158,600,0
593,12,2,1,1200,125,600,1200,158,600,0
594,12,2,1,1500,125,600,1500,158,600,0
595,12,9,2,12,158,600,288,158,600,95
596,12,9,2,312,158,600,588,158,600,95
597,12,9,2,612,158,600,888,158,600,95
598,12,9,2,912,158,600,1188,158,600,95
599,12,9,2,1212,158,600,1488,158,600,95
600,12,2,2,0,158,600,12,158,600,0
601,12,2,2,300,158,600,312,158,600,0
602,12,2,2,600,158,600,612,158,600,0
603,12,2,2,900,158,600,912,158,600,0
604,12,2,2,1200,158,600,1212,158,600,0
605,12,2,2,288,158,600,300,158,600,0
606,12,2,2,588,158,600,600,158,600,0
607,12,2,2,888,158,600,900,158,600,0
608,12,2,2,1188,158,600,1200,158,600,0
609,12,2,2,1488,158,600,1500,158,600,0
610,12,7,1,0,0,900,0,105,900,0
611,12,7,1,300,0,900,300,105,900,0
612,12,7,1,600,0,900,600,105,900,0
613,12,7,1,900,0,900,900,105,900,0
614,12,7,1,1200,0,900,1200,105,900,0
615,12,7,1,1500,0,900,1500,105,900,0
616,12,2,1,0,105,900,0,158,900,0
617,12,2,1,300,105,900,300,158,900,0
618,12,2,1,600,105,900,600,158,900,0
619,12,2,1,900,105,900,900,158,900,0
620,12,2,1,1200,105,900,1200,158,900,0
621,12,2,1,1500,105,900,1500,158,900,0
622,12,11,2,9,158,900,291,158,900,95
623,12,11,2,309,158,900,597,158,900,95
624,12,11,2,609,158,900,891,158,900,95
625,12,11,2,909,158,900,1191,158,900,95
626,12,11,2,1209,158,900,1491,158,900,95
627,12,2,2,0,158,900,9,158,900,0
628,12,2,2,300,158,900,309,158,900,0
629,12,2,2,600,158,900,609,158,900,0
630,12,2,2,900,158,900,909,158,900,0
631,12,2,2,1200,158,900,1209,158,900,0
632,12,2,2,291,158,900,300,158,900,0
633,12,2,2,597,158,900,600,158,900,0
634,12,2,2,891,158,900,900,158,900,0
635,12,2,2,1191,158,900,1200,158,900,0
636,12,2,2,1491,158,900,1500,158,900,0
637,12,15,1,-71,0,450,-71,162,450,0
638,12,15,1,1571,0,450,1571,162,450,0
